Date : 2023-04-30 01:50:49
Directory : /Users/turco/WebDev/coderhouse-backend-course
Total : 409 files,  756316 codes, 2606 comments, 4884 blanks, all 763806 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          9 |    660,393 |          0 |          7 |    660,400 |
| Log        |         20 |     72,739 |          0 |         20 |     72,759 |
| HTML       |          8 |     12,246 |         89 |      1,984 |     14,319 |
| JavaScript |        231 |      9,103 |      2,440 |      2,797 |     14,340 |
| Handlebars |        121 |      1,617 |         48 |          6 |      1,671 |
| Markdown   |          3 |         92 |          4 |         43 |        139 |
| Properties |         11 |         70 |          2 |         15 |         87 |
| Pug        |          3 |         38 |          0 |          2 |         40 |
| TypeScript |          1 |         14 |          0 |          6 |         20 |
| SQL        |          1 |          4 |          0 |          0 |          4 |
| Less       |          1 |          0 |         23 |          4 |         27 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        409 |    756,316 |      2,606 |      4,884 |    763,806 |
| . (Files)                                                                                                        |          5 |         65 |          0 |         11 |         76 |
| Desafio Clase 10                                                                                                 |         14 |        259 |          0 |         53 |        312 |
| Desafio Clase 10/EJS                                                                                             |          4 |         77 |          0 |         16 |         93 |
| Desafio Clase 10/EJS (Files)                                                                                     |          2 |         45 |          0 |         16 |         61 |
| Desafio Clase 10/EJS/views                                                                                       |          2 |         32 |          0 |          0 |         32 |
| Desafio Clase 10/Handlebars                                                                                      |          5 |         99 |          0 |         19 |        118 |
| Desafio Clase 10/Handlebars (Files)                                                                              |          2 |         55 |          0 |         19 |         74 |
| Desafio Clase 10/Handlebars/views                                                                                |          3 |         44 |          0 |          0 |         44 |
| Desafio Clase 10/Handlebars/views (Files)                                                                        |          2 |         32 |          0 |          0 |         32 |
| Desafio Clase 10/Handlebars/views/layouts                                                                        |          1 |         12 |          0 |          0 |         12 |
| Desafio Clase 10/PUG                                                                                             |          5 |         83 |          0 |         18 |        101 |
| Desafio Clase 10/PUG (Files)                                                                                     |          2 |         45 |          0 |         16 |         61 |
| Desafio Clase 10/PUG/views                                                                                       |          3 |         38 |          0 |          2 |         40 |
| Desafio Clase 12                                                                                                 |          6 |        208 |          2 |         65 |        275 |
| Desafio Clase 12 (Files)                                                                                         |          2 |         99 |          2 |         41 |        142 |
| Desafio Clase 12/public                                                                                          |          4 |        109 |          0 |         24 |        133 |
| Desafio Clase 12/public (Files)                                                                                  |          1 |         56 |          0 |         24 |         80 |
| Desafio Clase 12/public/views                                                                                    |          3 |         53 |          0 |          0 |         53 |
| Desafio Clase 12/public/views (Files)                                                                            |          2 |         40 |          0 |          0 |         40 |
| Desafio Clase 12/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 14                                                                                                 |          3 |        232 |          5 |         46 |        283 |
| Desafio Clase 16                                                                                                 |          9 |        264 |          2 |         61 |        327 |
| Desafio Clase 16 (Files)                                                                                         |          4 |        148 |          2 |         36 |        186 |
| Desafio Clase 16/database                                                                                        |          1 |          4 |          0 |          0 |          4 |
| Desafio Clase 16/public                                                                                          |          4 |        112 |          0 |         25 |        137 |
| Desafio Clase 16/public (Files)                                                                                  |          1 |         59 |          0 |         25 |         84 |
| Desafio Clase 16/public/views                                                                                    |          3 |         53 |          0 |          0 |         53 |
| Desafio Clase 16/public/views (Files)                                                                            |          2 |         40 |          0 |          0 |         40 |
| Desafio Clase 16/public/views/layouts                                                                            |          1 |         13 |          0 |          0 |         13 |
| Desafio Clase 18                                                                                                 |          1 |         81 |          0 |         30 |        111 |
| Desafio Clase 2                                                                                                  |          1 |         42 |          0 |         13 |         55 |
| Desafio Clase 20                                                                                                 |          5 |        196 |          2 |         49 |        247 |
| Desafio Clase 20/DAOs                                                                                            |          1 |          8 |          0 |          4 |         12 |
| Desafio Clase 20/Firestore                                                                                       |          2 |         97 |          1 |         22 |        120 |
| Desafio Clase 20/MongoDB                                                                                         |          2 |         91 |          1 |         23 |        115 |
| Desafio Clase 22                                                                                                 |          8 |        247 |          2 |         64 |        313 |
